trial_number,exp_folder,a,b,c,d,w1,w2,w3,w4,fid_score,state
0,00052-cifar10-4-2-dpmpp-3-poly7.0-afs,2.316697216415833,-5.766728803448956,0,0,0.0031299795642376164,0.031744633643436944,0.32195793757569924,3.2653365835717714,4.457271239026049,COMPLETE
1,00053-cifar10-4-2-dpmpp-3-poly7.0-afs,2.7314629009224403,-6.972348221687236,0,0,0.0009374489811687178,0.014394842147500841,0.22103760803402445,3.3941062822898274,4.453282378220349,COMPLETE
2,00054-cifar10-4-2-dpmpp-3-poly7.0-afs,1.463342508982434,-4.135815446456199,0,0,0.015989621132312924,0.06908118046500708,0.29845669606235176,1.28944524145149,4.43243556414084,COMPLETE
3,00055-cifar10-4-2-dpmpp-3-poly7.0-afs,2.0913512226351356,-6.289820586519005,0,0,0.0018550927456473815,0.015018547167077732,0.1215878610592188,0.9843567285498263,4.437785471802064,COMPLETE
4,00056-cifar10-4-2-dpmpp-3-poly7.0-afs,2.2959463794131336,-6.13924058814024,0,0,0.0021565607143866432,0.021422913430259267,0.21281163881857712,2.114035225137929,4.444074625285621,COMPLETE
6,00057-cifar10-4-2-dpmpp-3-poly7.0-afs,0.6774273559462161,-2.1343519866009455,0,0,0.11832123928764367,0.23295158640995078,0.4586365215376833,0.9029664151675447,4.589818770159267,COMPLETE
7,00058-cifar10-4-2-dpmpp-3-poly7.0-afs,0.5336400618771779,-2.8377611755100025,0,0,0.05855661731014871,0.09984651584371505,0.17025106954737645,0.29029983106666546,4.67601728557525,COMPLETE
8,00059-cifar10-4-2-dpmpp-3-poly7.0-afs,1.9066552585068084,-5.315825311205245,0,0,0.004913222144304586,0.03306863421372444,0.22256973868538252,1.4980143497405176,4.439649731962564,COMPLETE
9,00060-cifar10-4-2-dpmpp-3-poly7.0-afs,0.5841072229316733,-2.5891929795595017,0,0,0.07508060722729643,0.13464874817778982,0.24147760727292542,0.4330633266435047,4.604667141647665,COMPLETE
10,00061-cifar10-4-2-dpmpp-3-poly7.0-afs,1.2497562399079871,-3.9183738922135545,0,0,0.01987338474942486,0.06934802216036004,0.24198938621630434,0.8444200889526808,4.418129572560147,COMPLETE
11,00062-cifar10-4-2-dpmpp-3-poly7.0-afs,1.275360977346376,-3.97664637787544,0,0,0.018748409105438398,0.06711918223464323,0.24028623434190335,0.8602231506988056,4.41151085544585,COMPLETE
12,00063-cifar10-4-2-dpmpp-3-poly7.0-afs,1.284718095468312,-3.8694196841964463,0,0,0.020870477379507348,0.07541858199845272,0.27253629168263926,0.9848505277604984,4.423255257787783,COMPLETE
13,00064-cifar10-4-2-dpmpp-3-poly7.0-afs,1.1153907873304658,-3.7444889767117533,0,0,0.023647710491240762,0.07214349267955728,0.22009249216465063,0.6714494032387353,4.42209607998766,COMPLETE
14,00065-cifar10-4-2-dpmpp-3-poly7.0-afs,1.0000059970412105,-3.4537878870623566,0,0,0.031625614950058833,0.0859678499837809,0.2336862458644494,0.6352288851765253,4.4393597627932255,COMPLETE
15,00066-cifar10-4-2-dpmpp-3-poly7.0-afs,1.5803832056984137,-4.551415893170641,0,0,0.010552252938655192,0.05125035739267999,0.24891358728292284,1.208927646286084,4.422649285481526,COMPLETE
16,00067-cifar10-4-2-dpmpp-3-poly7.0-afs,0.9227061623466319,-3.207668358215248,0,0,0.04045082022357952,0.1017779096590253,0.2560823943076046,0.6443263856962131,4.46596958426778,COMPLETE
17,00068-cifar10-4-2-dpmpp-3-poly7.0-afs,1.660970850027509,-4.540612734306743,0,0,0.010666868594378253,0.05615486917516964,0.2956227785296177,1.5562822684700421,4.436270604871766,COMPLETE
18,00069-cifar10-4-2-dpmpp-3-poly7.0-afs,1.3241123561675225,-4.197111986648676,0,0,0.015038946843003694,0.05652910557888908,0.21248427904616163,0.7986959704989264,4.401696977248016,COMPLETE
19,00070-cifar10-4-2-dpmpp-3-poly7.0-afs,1.9122619646447385,-5.004619070803768,0,0,0.006706895714075346,0.04539482777166888,0.30724950502731657,2.079581815231556,4.449510926227282,COMPLETE
20,00071-cifar10-4-2-dpmpp-3-poly7.0-afs,0.8176752666728955,-3.253692557695575,0,0,0.03863129584995568,0.0875086799576356,0.1982270824585005,0.44902947043689856,4.489920057618643,COMPLETE
