trial_number,exp_folder,a,b,c,d,w1,w2,w3,w4,fid_score,state
0,00000-cifar10-4-2-dpmpp-3-poly7.0-afs,0.8925147398062556,0.8693744844906609,0.6399643553873802,0.6578840539979057,0.8925147398062556,1.7618892242969166,2.401853579684297,3.059737633682203,4.727863281269235,COMPLETE
1,00001-cifar10-4-2-dpmpp-3-poly7.0-afs,0.32709793917781615,0.46697883921828376,0.24553738567662398,0.41703356077128795,0.32709793917781615,0.7940767783960999,1.039614164072724,1.4566477248440117,4.6710921356479345,COMPLETE
2,00002-cifar10-4-2-dpmpp-3-poly7.0-afs,0.909794823703474,0.3320164468838932,0.09532376734691972,0.45224617121148003,0.909794823703474,1.2418112705873672,1.3371350379342868,1.7893812091457668,4.939144627855526,COMPLETE
3,00003-cifar10-4-2-dpmpp-3-poly7.0-afs,0.45983329764830627,0.5909003019623937,0.5375727544951864,0.012035731285337525,0.45983329764830627,1.0507335996107,1.5883063541058862,1.6003420853912238,4.765517793278178,COMPLETE
4,00004-cifar10-4-2-dpmpp-3-poly7.0-afs,0.6691375385321917,0.6096454597344483,0.9063779747945624,0.9586029681691711,0.6691375385321917,1.27878299826664,2.1851609730612025,3.1437639412303735,4.595444240382301,COMPLETE
5,00005-cifar10-4-2-dpmpp-3-poly7.0-afs,0.109451281164051,0.7721097380693421,0.03105599728598718,0.14268528786839796,0.109451281164051,0.8815610192333931,0.9126170165193803,1.0553023043877783,4.730241661643792,COMPLETE
6,00006-cifar10-4-2-dpmpp-3-poly7.0-afs,0.8035390045426272,0.7801362610790377,0.8697573438187504,0.02528991839453909,0.8035390045426272,1.5836752656216648,2.4534326094404153,2.4787225278349543,4.7703011145128515,COMPLETE
7,00007-cifar10-4-2-dpmpp-3-poly7.0-afs,0.917345216173305,0.06258974737350365,0.1248251305397744,0.6461275078762159,0.917345216173305,0.9799349635468086,1.1047600940865832,1.750887601962799,4.879454839593484,COMPLETE
8,00008-cifar10-4-2-dpmpp-3-poly7.0-afs,0.5849554598226399,0.23322916915812386,0.5428731607967928,0.683840734252203,0.5849554598226399,0.8181846289807637,1.3610577897775564,2.0448985240297595,4.624703216155945,COMPLETE
9,00009-cifar10-4-2-dpmpp-3-poly7.0-afs,0.17341791044555777,0.008639373167963371,0.1799656930400927,0.754273766062769,0.17341791044555777,0.18205728361352114,0.3620229766536138,1.1162967427163828,4.438037287929059,COMPLETE
10,00010-cifar10-4-2-dpmpp-3-poly7.0-afs,0.04222160985142198,0.12295196247729923,0.30914599830019984,0.9681641247398008,0.04222160985142198,0.1651735723287212,0.47431957062892105,1.442483695368722,4.379899997230132,COMPLETE
11,00011-cifar10-4-2-dpmpp-3-poly7.0-afs,0.0009954139837675124,0.01592085025133705,0.32314903819124224,0.9658794650789417,0.0009954139837675124,0.01691626423510456,0.3400653024263468,1.3059447675052884,4.407394376317327,COMPLETE
12,00012-cifar10-4-2-dpmpp-3-poly7.0-afs,0.02727347885581375,0.18268952368047875,0.35429625031959455,0.9735852586785221,0.02727347885581375,0.2099630025362925,0.5642592528558871,1.5378445115344093,4.385305638624095,COMPLETE
13,00013-cifar10-4-2-dpmpp-3-poly7.0-afs,0.276658504929846,0.21897447889876898,0.3771870763592528,0.8525799558750999,0.276658504929846,0.495632983828615,0.8728200601878677,1.7254000160629677,4.5049367189706295,COMPLETE
14,00014-cifar10-4-2-dpmpp-3-poly7.0-afs,0.0006233911235130132,0.23377164949428922,0.37888115169021597,0.9958740968984826,0.0006233911235130132,0.23439504061780222,0.6132761923080182,1.6091502892065008,4.382241004352716,COMPLETE
15,00015-cifar10-4-2-dpmpp-3-poly7.0-afs,0.22639313875908354,0.391371406625679,0.4178965766707615,0.8310392531294207,0.22639313875908354,0.6177645453847626,1.035661122055524,1.8667003751849447,4.502875497452719,COMPLETE
16,00016-cifar10-4-2-dpmpp-3-poly7.0-afs,0.4421531453771647,0.14520778464288614,0.7639441607552203,0.24998650769149455,0.4421531453771647,0.5873609300200509,1.3513050907752713,1.6012915984667657,4.619914246308466,COMPLETE
17,00017-cifar10-4-2-dpmpp-3-poly7.0-afs,0.10959929495314025,0.3322179664991832,0.24745206906353667,0.8604077804994368,0.10959929495314025,0.4418172614523235,0.6892693305158601,1.549677111015297,4.4506318730303995,COMPLETE
18,00018-cifar10-4-2-dpmpp-3-poly7.0-afs,0.35347090332957143,0.12419448459825744,0.640593174979704,0.5607398370088453,0.35347090332957143,0.47766538792782887,1.118258562907533,1.6789983999163782,4.539360982413034,COMPLETE
19,00019-cifar10-4-2-dpmpp-3-poly7.0-afs,0.15959097566577657,0.3061860172066413,0.4651944135333955,0.3397721933423052,0.15959097566577657,0.46577699287241786,0.9309714064058134,1.2707435997481187,4.5314257479761695,COMPLETE
20,00020-cifar10-4-2-dpmpp-3-poly7.0-afs,0.7007403637834468,0.5043933877762472,0.24556996542027398,0.7941272453917924,0.7007403637834468,1.205133751559694,1.4507037169799681,2.2448309623717604,4.727525394405971,COMPLETE
21,00021-cifar10-4-2-dpmpp-3-poly7.0-afs,0.005218054720370936,0.17086941043833093,0.32415613979491853,0.9967701138202896,0.005218054720370936,0.17608746515870186,0.5002436049536204,1.49701371877391,4.3823457954183365,COMPLETE
22,00022-cifar10-4-2-dpmpp-3-poly7.0-afs,0.04034265133377679,0.0909385470519313,0.31364008704168533,0.9083324388347246,0.04034265133377679,0.1312811983857081,0.4449212854273934,1.3532537242621179,4.372544702805725,COMPLETE
